batch_id,product_name,actor_role,location,scan_timestamp,digital_signature
BAT-1032,DAP Fertilizer,Retailer,Kisumu Retail,2026-03-06 00:00:00,SIG-LEGIT-003
BAT-1033,Hybrid Tomato Seeds,Manufacturer,Mombasa Port,2026-03-09 00:00:00,SIG-LEGIT-001
BAT-1033,Hybrid Tomato Seeds,Distributor,Nairobi Warehouse,2026-03-10 00:00:00,SIG-LEGIT-002
BAT-1033,Hybrid Tomato Seeds,Retailer,Nakuru Retail,2026-03-11 00:00:00,SIG-LEGIT-003
BAT-1034,Certified Maize Seeds,Manufacturer,Mombasa Port,2026-03-09 00:00:00,SIG-LEGIT-001
BAT-1034,Certified Maize Seeds,Distributor,Nairobi Warehouse,2026-03-10 00:00:00,SIG-LEGIT-002
BAT-1034,Certified Maize Seeds,Retailer,Kitale Retail,2026-03-11 00:00:00,SIG-LEGIT-003
BAT-1035,DAP Fertilizer,Manufacturer,Mombasa Port,2026-03-08 00:00:00,SIG-LEGIT-001
BAT-1035,DAP Fertilizer,Distributor,Nairobi Warehouse,2026-03-10 00:00:00,SIG-LEGIT-002
BAT-1035,DAP Fertilizer,Retailer,Nakuru Retail,2026-03-11 00:00:00,SIG-LEGIT-003
BAT-1036,Certified Maize Seeds,Manufacturer,Mombasa Port,2026-03-10 00:00:00,SIG-LEGIT-001
BAT-1036,Certified Maize Seeds,Distributor,Nairobi Warehouse,2026-03-11 00:00:00,SIG-LEGIT-002
BAT-1036,Certified Maize Seeds,Retailer,Kitale Retail,2026-03-13 00:00:00,SIG-LEGIT-003
BAT-1037,Hybrid Tomato Seeds,Manufacturer,Mombasa Port,2026-03-08 00:00:00,SIG-LEGIT-001
BAT-1037,Hybrid Tomato Seeds,Distributor,Nairobi Warehouse,2026-03-09 00:00:00,SIG-LEGIT-002
BAT-1037,Hybrid Tomato Seeds,Retailer,Kisumu Retail,2026-03-10 00:00:00,SIG-LEGIT-003
BAT-1038,DAP Fertilizer,Manufacturer,Mombasa Port,2026-03-04 00:00:00,SIG-LEGIT-001
BAT-1038,DAP Fertilizer,Retailer,Kisumu Retail,2026-03-04 01:00:00,SIG-LEGIT-003
BAT-1039,DAP Fertilizer,Manufacturer,Mombasa Port,2026-03-03 00:00:00,SIG-LEGIT-001
BAT-1039,DAP Fertilizer,Distributor,Nairobi Warehouse,2026-03-04 00:00:00,SIG-LEGIT-002
BAT-1039,DAP Fertilizer,Retailer,Nakuru Retail,2026-03-05 00:00:00,SIG-LEGIT-003
BAT-1040,NPK Fertilizer,Manufacturer,Mombasa Port,2026-03-02 00:00:00,SIG-LEGIT-001
BAT-1040,NPK Fertilizer,Distributor,Nairobi Warehouse,2026-03-04 00:00:00,SIG-LEGIT-002
BAT-1040,NPK Fertilizer,Retailer,Kitale Retail,2026-03-05 00:00:00,SIG-LEGIT-003
BAT-1041,Hybrid Tomato Seeds,Manufacturer,Mombasa Port,2026-03-01 00:00:00,SIG-LEGIT-001
BAT-1041,Hybrid Tomato Seeds,Distributor,Nairobi Warehouse,2026-03-03 00:00:00,SIG-LEGIT-002
BAT-1041,Hybrid Tomato Seeds,Retailer,Kisumu Retail,2026-03-04 00:00:00,SIG-LEGIT-003
BAT-1042,Hybrid Tomato Seeds,Manufacturer,Mombasa Port,2026-03-10 00:00:00,SIG-LEGIT-001
BAT-1042,Hybrid Tomato Seeds,Distributor,Nairobi Warehouse,2026-03-12 00:00:00,SIG-LEGIT-002
BAT-1042,Hybrid Tomato Seeds,Retailer,Kitale Retail,2026-03-14 00:00:00,SIG-LEGIT-003
BAT-1043,Certified Maize Seeds,Manufacturer,Mombasa Port,2026-03-08 00:00:00,SIG-LEGIT-001
BAT-1043,Certified Maize Seeds,Retailer,Kisumu Retail,2026-03-08 01:00:00,SIG-LEGIT-003
BAT-1044,DAP Fertilizer,Manufacturer,Mombasa Port,2026-03-08 00:00:00,SIG-LEGIT-001
BAT-1044,DAP Fertilizer,Distributor,Nairobi Warehouse,2026-03-10 00:00:00,SIG-LEGIT-002
BAT-1044,DAP Fertilizer,Retailer,Kisumu Retail,2026-03-12 00:00:00,SIG-LEGIT-003
BAT-1045,Certified Maize Seeds,Manufacturer,Mombasa Port,2026-03-01 00:00:00,SIG-LEGIT-001
BAT-1045,Certified Maize Seeds,Retailer,Kisumu Retail,2026-03-01 01:00:00,SIG-LEGIT-003
BAT-1046,DAP Fertilizer,Manufacturer,Mombasa Port,2026-03-03 00:00:00,SIG-LEGIT-001
BAT-1046,DAP Fertilizer,Distributor,Nairobi Warehouse,2026-03-04 00:00:00,SIG-LEGIT-002
BAT-1046,DAP Fertilizer,Retailer,Kitale Retail,2026-03-06 00:00:00,SIG-LEGIT-003
BAT-1047,Certified Maize Seeds,Manufacturer,Mombasa Port,2026-03-03 00:00:00,SIG-LEGIT-001
BAT-1047,Certified Maize Seeds,Distributor,Nairobi Warehouse,2026-03-04 00:00:00,SIG-LEGIT-002
BAT-1047,Certified Maize Seeds,Retailer,Nakuru Retail,2026-03-05 00:00:00,SIG-LEGIT-003
BAT-1048,Hybrid Tomato Seeds,Manufacturer,Mombasa Port,2026-03-07 00:00:00,SIG-LEGIT-001
BAT-1048,Hybrid Tomato Seeds,Distributor,Nairobi Warehouse,2026-03-08 00:00:00,SIG-LEGIT-002
BAT-1048,Hybrid Tomato Seeds,Retailer,Kitale Retail,2026-03-10 00:00:00,SIG-LEGIT-003
BAT-1049,NPK Fertilizer,Manufacturer,Mombasa Port,2026-03-09 00:00:00,SIG-LEGIT-001
BAT-1049,NPK Fertilizer,Retailer,Kisumu Retail,2026-03-09 01:00:00,SIG-LEGIT-003
